name,story,year
Wolfgang,The Mystery of Jaguar Reef,1996
Juanita,The Mystery of Jaguar Reef,1996
Jack Flanders,Return to Inverness,2000
Lady Sarah Jowls,Return to Inverness,2000
Lady Pompon,Return to Inverness,2000
Lord Henry Jowls,Return to Inverness,2000
Mojo Sam,Return to Inverness,2000
Little Frieda,Return to Inverness,2000
Sait Sey,Return to Inverness,2000
Jack Flanders,Traveling Jack,2003
Jack Flanders,Dreams of the Blue Morpho,2002
Mojo Sam,Dreams of the Blue Morpho,2002
Amy,Dreams of the Blue Morpho,2002
Nina,Dreams of the Blue Morpho,2002
Felix,Dreams of the Blue Morpho,2002
Jack Flanders,Somewhere Next Door to Reality,2002
Mojo Sam,Somewhere Next Door to Reality,2002
Dominique,Somewhere Next Door to Reality,2002
Madame Caio,Somewhere Next Door to Reality,2002
Claudine,Somewhere Next Door to Reality,2002
Isabelle,Somewhere Next Door to Reality,2002
Waiter,Somewhere Next Door to Reality,2002
Jack Flanders,Do That in Real Life,2003
Mojo Sam,Do That in Real Life,2003
Dominique,Do That in Real Life,2003
Claudine,Do That in Real Life,2003
Madame Ebbo,Do That in Real Life,2003
Sophia,Do That in Real Life,2003
The Zombie,Do That in Real Life,2003
Rufus,Do That in Real Life,2003
Waiter,Do That in Real Life,2003
Jack Flanders,The Eye of Van Gogh,2003
Mojo Sam,The Eye of Van Gogh,2003
Dominique,The Eye of Van Gogh,2003
Claudine,The Eye of Van Gogh,2003
La Petite Frieda,The Eye of Van Gogh,2003
Jean-Claude,The Eye of Van Gogh,2003
Waiter,The Eye of Van Gogh,2003
Jack Flanders,The Fantastic Voyages of Captain Jack Flanders',2008
Jack Flanders,Orchids and Moombeams,2005
Mojo Sam,Orchids and Moombeams,2005
Claudine,Orchids and Moombeams,2005
Pat Patterson,Orchids and Moombeams,2005
Bunny,Orchids and Moombeams,2005
Amber,Orchids and Moombeams,2005
Jack Flanders,The Ghost Islands,2006
Mojo Sam,The Ghost Islands,2006
Dominique,The Ghost Islands,2006
Rose Jamal,The Ghost Islands,2006
Madame Jamal,The Ghost Islands,2006
Bunny,The Ghost Islands,2006
Una,The Ghost Islands,2006
Fast Freddie,The Ghost Islands,2006
Joseph,The Ghost Islands,2006
Georgette,The Ghost Islands,2006
Jack Flanders,Tropical Hot Dog Night,2007
Mojo Sam,Tropical Hot Dog Night,2007
Claudine,Tropical Hot Dog Night,2007
Dominique,Tropical Hot Dog Night,2007
Rose,Tropical Hot Dog Night,2007
Johnny,Tropical Hot Dog Night,2007
Fritzy,Tropical Hot Dog Night,2007
Danny,Tropical Hot Dog Night,2007
Wolf,Tropical Hot Dog Night,2007
Jack Flanders,The White Castle,2008
Mojo Sam,The White Castle,2008
Claudine,The White Castle,2008
Dominique,The White Castle,2008
Rose,The White Castle,2008
Johnny Seven,The White Castle,2008
Sanford White,The White Castle,2008
Zeevo,The White Castle,2008
Jack Flanders,Steam Dreamers of Inverness,2011
Mojo Sam,Steam Dreamers of Inverness,2011
Claudine,Steam Dreamers of Inverness,2011
Jack Flanders,Do Angels Really Have Wings,2012
Jack Flanders,Dreams of the Tiffany Blue,2013
Friedrich,Dreams of the Tiffany Blue,2013
Lindz,Dreams of the Tiffany Blue,2013
Jack Flanders,The Secret of the Crystal Maidens,2014
Jack Flanders,The Green Velvet Chair,2015
Jack's Neice,League of the Green Velvet Chairs,2016
Old Far-Seeing Art,The Green Velvet Chair,2015
Mojo Sam,The Green Velvet Chair,2015
Zula,The Green Velvet Chair,2015
Zoey,The Green Velvet Chair,2015
Homer,The Green Velvet Chair,2015
Cairo,The Green Velvet Chair,2015
Little Frieda,"The Adventures of Rocket Pierre, a sub-series within Stars and Stuff",1977
Mojo Sam,Land of Enchantment,1997
Little Frieda,"Little Frieda's Life Lessons",2001
Little Frieda,The Wee Weever - A Little Frieda Mystery,2004
Mojo Sam,The Wee Weever - A Little Frieda Mystery,2004
Mojo Sam,The Case of the Disappearing Witch,2005
Little Frieda,The Case of the Disappearing Witch,2005
Mojo Sam,Mojo's Vest Pocket Voodoo Adventures,2009
